Using ADS Bumblebee for 2mass,,,
,,,
3/6/2018,,,
,,,
pubdate:[2017-6 TO 2017-12] citations(bibcode:2006AJ....131.1163S) property:refereed database:astronomy ,,,
,,,
,,,
315 results (interestingly, within 1 of the first six months' total!),,
@ARTICLE{2017MNRAS.469.2886D, YES,,
@ARTICLE{2017MNRAS.469.2531B, YES,,
@ARTICLE{2017MNRAS.469.2387P, YES and spitzer,,
@ARTICLE{2017MNRAS.469.1545F, YES,,
@ARTICLE{2017MNRAS.469.1330A, YES,,
@ARTICLE{2017AstL...43..545G, YES and wise,,
@ARTICLE{2017ApJ...845..170B, YES,,
@ARTICLE{2017ApJ...845..148P, *NO* not really just a single position,,
@ARTICLE{2017ApJ...845..126Z, YES and wise,,
@ARTICLE{2017ApJ...845..110B, YES,,
@ARTICLE{2017ApJ...845...99I, YES,,
@ARTICLE{2017ApJ...845...87L, YES,,
@ARTICLE{2017ApJ...845...34D, YES,,
@ARTICLE{2017ApJ...845...21K, YES and wise,,
@ARTICLE{2017ApJ...844..166Z, YES,,
@ARTICLE{2017ApJ...844..165P, YES,,
@ARTICLE{2017ApJ...844..159C, YES and glimpse, both somewhat indirectly,
@ARTICLE{2017ApJ...844..134L, YES and wise,,
@ARTICLE{2017ApJ...844..110R, YES and wise,,
@ARTICLE{2017ApJ...844..107I, YES,,
@ARTICLE{2017ApJ...844...96Y, YES,,
@ARTICLE{2017AJ....154...69S, YES and denis,,
@ARTICLE{2017AJ....154...46E, YES,,
@ARTICLE{2017AdSpR..60..612B, YES,,
@ARTICLE{2017A&A...604A.134D, YES,,
@ARTICLE{2017A&A...604A.129M, YES,,
@ARTICLE{2017A&A...604A.108M, YES and wise,,
@ARTICLE{2017A&A...604A.103P, YES,,
@ARTICLE{2017A&A...604A..78R, YES,,
https://ui.adsabs.harvard.edu/#abs/2017PhDT........11N/abstract yes actually,,,
@ARTICLE{2017PASA...34...30S, YES,,
@ARTICLE{2017MNRAS.469.1246K, YES,,
@ARTICLE{2017MNRAS.469.1186S, YES and wise,,
@ARTICLE{2017MNRAS.469..916B, YES,,
@ARTICLE{2017MNRAS.469..671L, YES,,
@ARTICLE{2017MNRAS.469..401S, YES,,
@ARTICLE{2017MNRAS.469..347S, YES and galex and wise,,
@ARTICLE{2017MNRAS.469..110G, YES and spitzer and irtf,,
@ARTICLE{2017MNRAS.468.4902P, YES,,
@ARTICLE{2017MNRAS.468.4151I, YES,,
@ARTICLE{2017MNRAS.468.3828U, YES,,
@ARTICLE{2017MNRAS.468.3764S, YES,,
@ARTICLE{2017MNRAS.468.3368W, YES,,
@ARTICLE{2017MNRAS.468.2745N, YES,,
@ARTICLE{2017MNRAS.468.2719M, YES and wise,,
@ARTICLE{2017MNRAS.468.2517W, YES and wise,,
@ARTICLE{2017Icar..290...14F, YES,,
@ARTICLE{2017AstL...43..472G, YES,,
@ARTICLE{2017AstBu..72..257L, YES,,
@ARTICLE{2017ApJS..231...11Y, YES and spitzer,,
@ARTICLE{2017ApJS..231....7G, YES,,
@ARTICLE{2017ApJ...844L...1T, YES,,
@ARTICLE{2017ApJ...844...81L, YES,,
@ARTICLE{2017ApJ...844...74L, YES,,
@ARTICLE{2017ApJ...844...66M, YES,,
@ARTICLE{2017ApJ...844...45O, YES,,
@ARTICLE{2017ApJ...844...15D, YES,,
@ARTICLE{2017ApJ...843L..34K, YES,,
@ARTICLE{2017ApJ...843L...4B, YES,,
@ARTICLE{2017ApJ...843...51A, YES and msx and akari and wise and iras,,
@ARTICLE{2017ApJ...843....9A, YES,,
@ARTICLE{2017Ap&SS.362..128C, YES,,
@ARTICLE{2017AJ....154...31G, YES,,
@ARTICLE{2017AJ....154...25B, YES and wise,,
@ARTICLE{2017AJ....154...14S, YES,,
@ARTICLE{2017AJ....154...10R, YES,,
@ARTICLE{2017A&C....20...77G, YES,,
@ARTICLE{2017A&A...603A.132F, YES and wise and akari and spitzer,,
@ARTICLE{2017A&A...603A..47B, YES,,
@ARTICLE{2017A&A...603A..26N, YES and akari herschel,,
@ARTICLE{2017A&A...603A..25A, YES and wise,,
@ARTICLE{2017SerAJ.194...59A, can't get to article,,
@ARTICLE{2017Sci...356.1046S, YES,,
@ARTICLE{2017Natur.546..514G, YES,,
@ARTICLE{2017NatAs...1E.116G, YES,,
@ARTICLE{2017MNRAS.468.2114P, YES,,
@ARTICLE{2017MNRAS.468.2081G, YES,,
@ARTICLE{2017MNRAS.468.1092C, YES,,
@ARTICLE{2017MNRAS.468..857K, *no* not really,,
@ARTICLE{2017MNRAS.468..662R, YES,,
@ARTICLE{2017MNRAS.468..492P, YES,,
@ARTICLE{2017MNRAS.468..261Z, says in ackn, in refs, but not in text
@ARTICLE{2017MNRAS.468..196T, YES and wise,,
@ARTICLE{2017MNRAS.468..180R, YES,,
@ARTICLE{2017MNRAS.468..109W, YES,,
@ARTICLE{2017MNRAS.467.5001C, YES and wise,,
@ARTICLE{2017MNRAS.467.4914V, YES,,
@ARTICLE{2017MNRAS.467.4514C, YES and wise,,
@ARTICLE{2017MNRAS.467.4264G, YES,,
@ARTICLE{2017MNRAS.467.4015H, YES,,
@ARTICLE{2017MNRAS.467.2517S, YES,,
@ARTICLE{2017JKAS...50...79K, YES,,
@ARTICLE{2017JKAS...50...71C, YES,,
@ARTICLE{2017JKAS...50...51L, in references but not in text,,
@ARTICLE{2017JAVSO..45...60W, can't get to article ,,
@ARTICLE{2017JAVSO..45....3S, can't get to article,,
@ARTICLE{2017ApJS..230...23V, YES and irtf,,
@ARTICLE{2017ApJ...842..123F, YES amd wise,,
@ARTICLE{2017ApJ...842...65Z, YES,,
@ARTICLE{2017ApJ...842...24J, YES,,
@ARTICLE{2017ApJ...841..108M, YES,,
@ARTICLE{2017ApJ...841...81H, YES,,
