,article,2mass,skrutskie,bibcode,doi
162,@ARTICLE{2017ApJ...838...41J,yes,yes,2017ApJ...838...41J,10.3847/1538-4357/aa63f9
163,@ARTICLE{2017ApJ...838...36S,no,yes,2017ApJ...838...36S,10.3847/1538-4357/aa619d
164,@ARTICLE{2017ApJ...838...22G,yes,yes,2017ApJ...838...22G,10.3847/1538-4357/aa6197
165,@ARTICLE{2017ApJ...838...20M,yes,yes,2017ApJ...838...20M,10.3847/1538-4357/aa6248
166,@ARTICLE{2017ApJ...837L..22S,yes,yes,2017ApJ...837L..22S,10.3847/2041-8213/aa62fb
167,@ARTICLE{2017ApJ...837..176Y,yes,yes,2017ApJ...837..176Y,10.3847/1538-4357/aa6250
168,@ARTICLE{2017ApJ...837..161S,yes,yes,2017ApJ...837..161S,10.3847/1538-4357/aa62a7
169,@ARTICLE{2017ApJ...837..130V,yes,yes,2017ApJ...837..130V,10.3847/1538-4357/aa5eba
170,@ARTICLE{2017ApJ...837..118L,yes,yes,2017ApJ...837..118L,10.3847/1538-4357/aa60c0
171,@ARTICLE{2017ApJ...837...95B,yes,yes,2017ApJ...837...95B,10.3847/1538-4357/aa5df0
172,@ARTICLE{2017ApJ...837...51H,yes,yes,2017ApJ...837...51H,10.3847/1538-4357/aa5f56
173,@ARTICLE{2017ApJ...837...48C,yes,yes,2017ApJ...837...48C,10.3847/1538-4357/aa5d5b
174,@ARTICLE{2017ApJ...837...44D,yes,yes,2017ApJ...837...44D,10.3847/1538-4357/aa5df2
175,@ARTICLE{2017ApJ...837...14A,yes,yes,2017ApJ...837...14A,10.3847/1538-4357/837/1/14
176,@ARTICLE{2017ApJ...837....7G,yes,yes,2017ApJ...837....7G,10.3847/1538-4357/aa5d56
177,@ARTICLE{2017ApJ...837....3S,yes,yes,2017ApJ...837....3S,10.3847/1538-4357/aa5eb3
178,@ARTICLE{2017Ap.....60...70G,yes,yes,2017Ap.....60...70G,10.1007/s10511-017-9463-z
179,@ARTICLE{2017AJ....153..126K,yes,yes,2017AJ....153..126K,10.3847/1538-3881/aa5cb1
180,@ARTICLE{2017AJ....153..115S,yes,yes,2017AJ....153..115S,10.3847/1538-3881/153/3/115
181,@ARTICLE{2017AJ....153..106U,yes,yes,2017AJ....153..106U,10.3847/1538-3881/153/3/106
182,@ARTICLE{2017AJ....153..101S,yes,yes,2017AJ....153..101S,10.3847/1538-3881/153/3/101
183,@ARTICLE{2017AJ....153...97O,yes,yes,2017AJ....153...97O,10.3847/1538-3881/153/3/97
184,@ARTICLE{2017AJ....153...96M,yes,yes,2017AJ....153...96M,10.3847/1538-3881/153/3/96
185,@ARTICLE{2017AJ....153...95R,yes,yes,2017AJ....153...95R,10.3847/1538-3881/153/3/95
186,@ARTICLE{2017AJ....153...92T,yes,yes,2017AJ....153...92T,10.3847/1538-3881/153/3/92
187,@ARTICLE{2017A&A...599A..97H,yes,yes,2017A&A...599A..97H,
188,@ARTICLE{2017A&A...599A..78P,yes,yes,2017A&A...599A..78P,
189,@ARTICLE{2017A&A...599A..70J,yes,yes,2017A&A...599A..70J,
190,@ARTICLE{2017A&A...599A..50A,yes,yes,2017A&A...599A..50A,
191,@ARTICLE{2017A&A...599A..37D,yes,yes,2017A&A...599A..37D,
192,@ARTICLE{2017RAA....17...20I,yes,yes,2017RAA....17...20I,10.1088/1674-4527/17/2/20
193,@ARTICLE{2017PhRvD..95d2005M,yes,yes,2017PhRvD..95d2005M,10.1103/PhysRevD.95.042005
194,@ARTICLE{2017PASJ...69....9Y,yes,yes,2017PASJ...69....9Y,10.1093/pasj/psw113
195,@ARTICLE{2017MNRAS.465.2120C,yes,yes,2017MNRAS.465.2120C,10.1093/mnras/stw2797
196,@ARTICLE{2017MNRAS.465.1889G,yes,yes,2017MNRAS.465.1889G,10.1093/mnras/stw2855
197,@ARTICLE{2017MNRAS.465.1665K,yes,yes,2017MNRAS.465.1665K,10.1093/mnras/stw2897
198,@ARTICLE{2017MNRAS.465.1621P,yes,yes,2017MNRAS.465.1621P,10.1093/mnras/stw2819
199,@ARTICLE{2017MNRAS.465.1454H,yes,yes,2017MNRAS.465.1454H,10.1093/mnras/stw2805
200,@ARTICLE{2017MNRAS.465.1401S,yes,yes,2017MNRAS.465.1401S,10.1093/mnras/stw2784
201,@ARTICLE{2017MNRAS.465.1123S,yes,yes,2017MNRAS.465.1123S,10.1093/mnras/stw2781
202,@ARTICLE{2017MNRAS.465..784M,yes,yes,2017MNRAS.465..784M,10.1093/mnras/stw2764
203,@ARTICLE{2017MNRAS.465..760B,yes,yes,2017MNRAS.465..760B,10.1093/mnras/stw2760
204,@ARTICLE{2017MNRAS.465..501S,yes,yes,2017MNRAS.465..501S,10.1093/mnras/stw2162
205,@ARTICLE{2017MNRAS.465..472K,yes,yes,2017MNRAS.465..472K,10.1093/mnras/stw2772
