,article,2mass,skrutskie,bibcode,doi
26,@ARTICLE{2017ApJ...851...11L,yes,yes,2017ApJ...851...11L,10.3847/1538-4357/aa9578
27,@ARTICLE{2017ApJ...851...10E,yes,yes,2017ApJ...851...10E,10.3847/1538-4357/aa9569
28,@ARTICLE{2017ApJ...850L..40A,yes,yes,2017ApJ...850L..40A,10.3847/2041-8213/aa93fc
29,@ARTICLE{2017ApJ...850..207S,yes,yes,2017ApJ...850..207S,10.3847/1538-4357/aa9525
30,@ARTICLE{2017ApJ...850..196B,yes,yes,2017ApJ...850..196B,10.3847/1538-4357/aa9067
31,@ARTICLE{2017ApJ...850..189H,yes,yes,2017ApJ...850..189H,10.3847/1538-4357/aa9619
32,@ARTICLE{2017ApJ...850..158S,yes,yes,2017ApJ...850..158S,10.3847/1538-4357/aa9273
33,@ARTICLE{2017ApJ...850..139W,yes,yes,2017ApJ...850..139W,10.3847/1538-4357/aa9333
34,@ARTICLE{2017ApJ...850..134S,yes,yes,2017ApJ...850..134S,10.3847/1538-4357/aa93ed
35,@ARTICLE{2017ApJ...850..111N,yes,yes,2017ApJ...850..111N,10.3847/1538-4357/aa9481
36,@ARTICLE{2017Ap.....60..462V,yes,yes,2017Ap.....60..462V,10.1007/s10511-017-9499-0
37,@ARTICLE{2017AJ....154..276Z,no,yes,2017AJ....154..276Z,10.3847/1538-3881/aa9565
38,@ARTICLE{2017AJ....154..264T,yes,yes,2017AJ....154..264T,10.3847/1538-3881/aa984b
39,@ARTICLE{2017AJ....154..263K,yes,yes,2017AJ....154..263K,10.3847/1538-3881/aa9574
40,@ARTICLE{2017AJ....154..242B,no,yes,2017AJ....154..242B,10.3847/1538-3881/aa94cf
41,@ARTICLE{2017AJ....154..227V,yes,yes,2017AJ....154..227V,10.3847/1538-3881/aa8df8
42,@ARTICLE{2017AJ....154..226D,yes,yes,2017AJ....154..226D,10.3847/1538-3881/aa9065
43,@ARTICLE{2017AJ....154..222L,no,yes,2017AJ....154..222L,10.3847/1538-3881/aa91d5
44,@ARTICLE{2017AJ....154..216M,no,yes,2017AJ....154..216M,10.3847/1538-3881/aa8fd6
45,@ARTICLE{2017AJ....154..214K,yes,yes,2017AJ....154..214K,10.3847/1538-3881/aa9177
46,@ARTICLE{2017AcA....67..317K,no,yes,2017AcA....67..317K,10.32023/0001-5237/67.4.2
47,@ARTICLE{2017AASP....7....6V,yes,yes,2017AASP....7....6V,10.17721/2227-1481.7.6-11
48,@ARTICLE{2017A&A...608L...8M,yes,yes,2017A&A...608L...8M,
49,@ARTICLE{2017A&A...608A.140C,yes,yes,2017A&A...608A.140C,
50,@ARTICLE{2017A&A...608A.132K,yes,yes,2017A&A...608A.132K,
51,@ARTICLE{2017A&A...608A.122S,yes,yes,2017A&A...608A.122S,
52,@ARTICLE{2017A&A...608A.120A,yes,yes,2017A&A...608A.120A,
53,@ARTICLE{2017A&A...608A..95M,no,yes,2017A&A...608A..95M,
54,@ARTICLE{2017A&A...608A..80E,yes,yes,2017A&A...608A..80E,
55,@ARTICLE{2017A&A...608A..79D,yes,yes,2017A&A...608A..79D,
56,@ARTICLE{2017A&A...608A..70J,no,yes,2017A&A...608A..70J,
57,@ARTICLE{2017A&A...608A..66E,yes,yes,2017A&A...608A..66E,
58,@ARTICLE{2017A&A...608A..26M,yes,yes,2017A&A...608A..26M,
59,@ARTICLE{2017SSRv..212.1817S,yes,yes,2017SSRv..212.1817S,10.1007/s11214-017-0427-8
60,@ARTICLE{2017SSRv..212.1743D,no,yes,2017SSRv..212.1743D,10.1007/s11214-017-0395-z
61,@ARTICLE{2017PASP..129k4101W,yes,yes,2017PASP..129k4101W,10.1088/1538-3873/aa8baf
62,@ARTICLE{2017Natur.551...75S,yes,yes,2017Natur.551...75S,10.1038/nature24303
63,@ARTICLE{2017MNRAS.472.1023C,yes,yes,2017MNRAS.472.1023C,10.1093/mnras/stx1985
64,@ARTICLE{2017MNRAS.472..979H,yes,yes,2017MNRAS.472..979H,10.1093/mnras/stx1929
65,@ARTICLE{2017MNRAS.472..966F,no,yes,2017MNRAS.472..966F,10.1093/mnras/stx1869
66,@ARTICLE{2017MNRAS.472..808R,no,yes,2017MNRAS.472..808R,10.1093/mnras/stx2096
67,@ARTICLE{2017MNRAS.471.5025O,no,yes,2017MNRAS.471.5025O,10.1093/mnras/stx1952
68,@ARTICLE{2017MNRAS.471.4374E,yes,yes,2017MNRAS.471.4374E,10.1093/mnras/stx1862
69,@ARTICLE{2017MNRAS.471.4144T,no,yes,2017MNRAS.471.4144T,10.1093/mnras/stx1838
70,@ARTICLE{2017MNRAS.471.3529S,no,yes,2017MNRAS.471.3529S,10.1093/mnras/stx1697
71,@ARTICLE{2017MNRAS.471.3419M,yes,yes,2017MNRAS.471.3419M,10.1093/mnras/stx1766
72,@ARTICLE{2017MNRAS.471.3135H,yes,yes,2017MNRAS.471.3135H,10.1093/mnras/stx1521
73,@ARTICLE{2017MNRAS.471.3098L,no,yes,2017MNRAS.471.3098L,10.1093/mnras/stx1799
74,@ARTICLE{2017MNRAS.471.2902R,yes,yes,2017MNRAS.471.2902R,10.1093/mnras/stx1560
75,@ARTICLE{2017MNRAS.471.2882W,no,yes,2017MNRAS.471.2882W,10.1093/mnras/stx1050
76,@ARTICLE{2017MNRAS.471.2743T,yes,yes,2017MNRAS.471.2743T,10.1093/mnras/stx1729
77,@ARTICLE{2017ExA....44..209H,yes,yes,2017ExA....44..209H,10.1007/s10686-017-9562-1
78,@ARTICLE{2017ApJS..233...13Z,yes,yes,2017ApJS..233...13Z,10.3847/1538-4365/aa937b
79,@ARTICLE{2017ApJ...850L..12T,yes,yes,2017ApJ...850L..12T,10.3847/2041-8213/aa9886
80,@ARTICLE{2017ApJ...850...98B,yes,yes,2017ApJ...850...98B,10.3847/1538-4357/aa9523
81,@ARTICLE{2017ApJ...850...96H,no,yes,2017ApJ...850...96H,10.3847/1538-4357/aa960c
82,@ARTICLE{2017ApJ...850...71F,yes,yes,2017ApJ...850...71F,10.3847/1538-4357/aa9219
83,@ARTICLE{2017ApJ...850...46T,no,yes,2017ApJ...850...46T,10.3847/1538-4357/aa9214
84,@ARTICLE{2017ApJ...850...12A,yes,yes,2017ApJ...850...12A,10.3847/1538-4357/aa9072
85,@ARTICLE{2017ApJ...850...11D,yes,yes,2017ApJ...850...11D,10.3847/1538-4357/aa9117
86,@ARTICLE{2017ApJ...849L..34P,no,yes,2017ApJ...849L..34P,10.3847/2041-8213/aa9660
87,@ARTICLE{2017ApJ...849L..23M,yes,yes,2017ApJ...849L..23M,10.3847/2041-8213/aa9374
88,@ARTICLE{2017ApJ...849L..16I,yes,yes,2017ApJ...849L..16I,10.3847/2041-8213/aa9367
89,@ARTICLE{2017ApJ...849L..13A,no,yes,2017ApJ...849L..13A,10.3847/2041-8213/aa92c3
90,@ARTICLE{2017ApJ...849..163S,yes,yes,2017ApJ...849..163S,10.3847/1538-4357/aa90b8
91,@ARTICLE{2017ApJ...849..102C,yes,yes,2017ApJ...849..102C,10.3847/1538-4357/aa8e4b
92,@ARTICLE{2017ApJ...849...91M,no,yes,2017ApJ...849...91M,10.3847/1538-4357/aa9185
93,@ARTICLE{2017ApJ...849...90S,no,yes,2017ApJ...849...90S,10.3847/1538-4357/aa91cb
94,@ARTICLE{2017ApJ...849...77D,yes,yes,2017ApJ...849...77D,10.3847/1538-4357/aa8ef2
95,@ARTICLE{2017ApJ...849...72K,no,yes,2017ApJ...849...72K,10.3847/1538-4357/aa8e4f
96,@ARTICLE{2017ApJ...849...69Y,yes,yes,2017ApJ...849...69Y,10.3847/1538-4357/aa8c0a
97,@ARTICLE{2017ApJ...849...68S,yes,yes,2017ApJ...849...68S,10.3847/1538-4357/aa8b18
98,@ARTICLE{2017ApJ...849...59B,no,yes,2017ApJ...849...59B,10.3847/1538-4357/aa9064
99,@ARTICLE{2017ApJ...849...55S,yes,yes,2017ApJ...849...55S,10.3847/1538-4357/aa8a78
100,@ARTICLE{2017ApJ...849...50N,yes,yes,2017ApJ...849...50N,10.3847/1538-4357/aa8f9c
101,@ARTICLE{2017ApJ...849...39S,yes,yes,2017ApJ...849...39S,10.3847/1538-4357/aa8df3
102,@ARTICLE{2017ApJ...849...38L,no,yes,2017ApJ...849...38L,10.3847/1538-4357/aa8e01
103,@ARTICLE{2017ApJ...849...29I,yes,yes,2017ApJ...849...29I,10.3847/1538-4357/aa7ff9
104,@ARTICLE{2017ApJ...849...11G,yes,yes,2017ApJ...849...11G,10.3847/1538-4357/aa84b3
105,@ARTICLE{2017ApJ...849....3K,yes,yes,2017ApJ...849....3K,10.3847/1538-4357/aa8666
